Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 37.78      2.10     2.10     3491     0.00     0.00  create_matrix(std::string&, std::string&, int, int, unsigned long, std::vector<int, std::allocator<int> >&)
 29.14      3.72     1.62 720458088     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 19.97      4.83     1.11 310350430     0.00     0.00  int const& std::max<int>(int const&, int const&)
  7.56      5.25     0.42     3492     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  2.70      5.40     0.15  2145651     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.62      5.49     0.09     3492     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.72      5.53     0.04     3453     0.00     0.00  nw_seq_to_seq(std::string&, std::string&, std::string&, std::string&, std::vector<int, std::allocator<int> >&, int, int)
  0.36      5.55     0.02    20825     0.00     0.00  mean_difference(std::vector<Sequence, std::allocator<Sequence> >&, std::vector<Sequence, std::allocator<Sequence> >&, int, std::vector<float, std::allocator<float> >)
  0.18      5.56     0.01    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      5.56     0.00  4922500     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.00      5.56     0.00   383379     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned long)
  0.00      5.56     0.00   252954     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::operator[](unsigned long)
  0.00      5.56     0.00    74025     0.00     0.00  Sequence::~Sequence()
  0.00      5.56     0.00    73348     0.00     0.00  Sequence::Sequence(Sequence const&)
  0.00      5.56     0.00    49200     0.00     0.00  std::sqrt(float)
  0.00      5.56     0.00    46025     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::size() const
  0.00      5.56     0.00    42469     0.00     0.00  std::vector<std::vector<Sequence, std::allocator<Sequence> >, std::allocator<std::vector<Sequence, std::allocator<Sequence> > > >::operator[](unsigned long)
  0.00      5.56     0.00    41652     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      5.56     0.00    41652     0.00     0.00  std::allocator<float>::~allocator()
  0.00      5.56     0.00    41652     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      5.56     0.00    41651     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00      5.56     0.00    41651     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
