Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 30.92      0.81     0.81     3355     0.00     0.00  create_matrix(std::string&, std::string&, int, int, unsigned long)
 30.16      1.60     0.79 411702684     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 20.61      2.14     0.54 204058466     0.00     0.00  int const& std::max<int>(int const&, int const&)
 10.31      2.41     0.27     3355     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  5.34      2.55     0.14     3355     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.76      2.57     0.02     3355     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.38      2.58     0.01  4627500     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.38      2.59     0.01    20826     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.38      2.60     0.01    20825     0.00     0.00  mean_difference(std::vector<Sequence, std::allocator<Sequence> >&, std::vector<Sequence, std::allocator<Sequence> >&, int, std::vector<float, std::allocator<float> >)
  0.38      2.61     0.01     3316     0.00     0.00  nw_seq_to_seq(std::string&, std::string&, std::string&, std::string&, std::vector<int, std::allocator<int> >&, int, int)
  0.38      2.62     0.01      656     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::push_back(Sequence const&)
  0.00      2.62     0.00  1437864     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.62     0.00   283630     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator[](unsigned long)
  0.00      2.62     0.00   213430     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::operator[](unsigned long)
  0.00      2.62     0.00    71488     0.00     0.00  Sequence::~Sequence()
  0.00      2.62     0.00    70653     0.00     0.00  Sequence::Sequence(Sequence const&)
  0.00      2.62     0.00    46250     0.00     0.00  std::sqrt(float)
  0.00      2.62     0.00    45910     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::size() const
  0.00      2.62     0.00    42224     0.00     0.00  std::vector<std::vector<Sequence, std::allocator<Sequence> >, std::allocator<std::vector<Sequence, std::allocator<Sequence> > > >::operator[](unsigned long)
  0.00      2.62     0.00    41652     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      2.62     0.00    41652     0.00     0.00  std::allocator<float>::~allocator()
  0.00      2.62     0.00    41652     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      2.62     0.00    41651     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00      2.62     0.00    41651     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      2.62     0.00    41650     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      2.62     0.00    41650     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00      2.62     0.00    41650     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, false>::_S_base(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      2.62     0.00    41650     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, true>::_S_base(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      2.62     0.00    41650     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      2.62     0.00    41650     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      2.62     0.00    20826     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      2.62     0.00    20826     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      2.62     0.00    20826     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      2.62     0.00    20826     0.00     0.00  std::_Iter_base<float*, false>::_S_base(float*)
  0.00      2.62     0.00    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      2.62     0.00    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00      2.62     0.00    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      2.62     0.00    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      2.62     0.00    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      2.62     0.00    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      2.62     0.00    20826     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      2.62     0.00    20826     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      2.62     0.00    20826     0.00     0.00  std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*)
  0.00      2.62     0.00    20826     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      2.62     0.00    20826     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      2.62     0.00    20825     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float> >::_S_select_on_copy(std::allocator<float> const&)
  0.00      2.62     0.00    20825     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      2.62     0.00    20825     0.00     0.00  std::vector<float, std::allocator<float> >::end() const
  0.00      2.62     0.00    20825     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
